,Account,Opportunity_ID,Sales_Agent,SalesAgentEmailID,ContactEmailID,Deal_Stage,Product,Close_Value,Created Date,Close Date,DateDiff,Ordered_Product,Ordered_Agent
2275,Dalttechnology,M6IGBW79,Zane Levy,zane@piedpiper.com,nelia@dalttechnology.com,1,GTX Plus Basic,1088,2017-03-28,2017-10-23,209,2,7
2276,Green-Plus,6XP6FVMN,Elease Gluck,elease@piedpiper.com,lavone@green-plus.com,1,MG Advanced,3772,2017-03-28,2017-12-13,260,1,14
2277,Condax,CXY4CXX1,Gladys Colclough,gladys@piedpiper.com,golda@condax.com,0,MG Special,50,2017-03-28,2017-04-09,12,6,3
2278,Betasoloin,76V79SHZ,Violet Mclelland,violet@piedpiper.com,danilo@betasoloin.com,0,GTX Plus Basic,561,2017-03-28,2017-07-26,120,2,13
2279,Konex,0QMOIDET,James Ascencio,james@piedpiper.com,delila@konex.com,1,GTX Plus Basic,1049,2017-03-28,2017-09-11,167,2,22
2280,Iselectrics,ZYRF768H,Violet Mclelland,violet@piedpiper.com,mirta@iselectrics.com,0,MG Special,1014,2017-03-29,2017-10-30,215,6,13
2281,Initech,RFYAI0WA,Rosie Papadopoulos,rosie@piedpiper.com,alejandro@initech.com,0,GTX Plus Pro,493,2017-03-29,2017-04-18,20,5,17
2282,Sunnamplex,COTHR6F7,Zane Levy,zane@piedpiper.com,maxie@sunnamplex.com,1,GTXPro,4595,2017-03-29,2017-07-30,123,3,7
2283,Betasoloin,N8F2PFQP,Boris Faz,boris@piedpiper.com,danilo@betasoloin.com,1,GTX Plus Basic,992,2017-03-29,2017-11-06,222,2,23
2285,Hottechi,CCVCBR83,Jonathan Berthelot,jonathan@piedpiper.com,juliette@hottechi.com,1,GTX Basic,553,2017-03-29,2017-07-22,115,4,18
2288,Stanredtax,SWV0JUQJ,Jonathan Berthelot,jonathan@piedpiper.com,candice@stanredtax.com,1,MG Special,60,2017-03-29,2017-09-13,168,6,18
2292,Sonron,AU1OZUN8,Elease Gluck,elease@piedpiper.com,ashlie@sonron.com,1,MG Special,56,2017-03-29,2017-11-06,222,6,14
2295,Condax,VMUTS9GK,Daniell Hammack,daniell@piedpiper.com,golda@condax.com,1,GTX Plus Pro,5807,2017-03-29,2017-10-02,187,5,5
2296,Conecom,06H63NKF,Darcel Schlecht,darcel@piedpiper.com,ivory@conecom.com,0,GTXPro,4514,2017-03-29,2017-11-10,226,3,12
2297,Globex Corporation,RMFG5C6C,Darcel Schlecht,darcel@piedpiper.com,yolando@globexcorporation.com,1,GTXPro,4594,2017-03-29,2017-09-28,183,3,12
2298,Kan-code,ESNS1OS9,Kami Bicknell,kami@piedpiper.com,kenton@kan-code.com,1,GTX Plus Pro,4742,2017-03-29,2017-10-22,207,5,16
2299,Faxquote,NN9R2Y4W,Vicki Laflamme,vicki@piedpiper.com,gaylord@faxquote.com,1,MG Special,49,2017-03-30,2017-06-19,81,6,15
2300,Konmatfix,LZVFFQLN,Moses Frase,moses@piedpiper.com,ivana@konmatfix.com,1,MG Special,50,2017-03-30,2017-07-24,116,6,24
2301,Massive Dynamic,B5QCN9H7,Violet Mclelland,violet@piedpiper.com,gertrude@massivedynamic.com,0,MG Special,500,2017-03-30,2017-07-29,121,6,13
2302,Ron-tech,ECOU1XXZ,Anna Snelling,anna@piedpiper.com,kelly@ron-tech.com,1,MG Special,52,2017-03-30,2017-04-04,5,6,8
2303,Rundofase,BPUE8GTU,Moses Frase,moses@piedpiper.com,crista@rundofase.com,1,MG Special,46,2017-03-30,2017-10-05,189,6,24
2305,Betasoloin,CJZLM3WA,Garret Kinder,garret@piedpiper.com,danilo@betasoloin.com,0,MG Special,1540,2017-03-30,2017-10-01,185,6,6
2306,Cheers,58TUIJ6D,Zane Levy,zane@piedpiper.com,robbie@cheers.com,0,GTXPro,601,2017-03-30,2017-04-25,26,3,7
2308,Silis,610D6711,Cassey Cress,cassey@piedpiper.com,zulema@silis.com,1,MG Advanced,2986,2017-03-30,2017-11-02,217,1,10
2309,Dontechi,IAW2UHNH,Darcel Schlecht,darcel@piedpiper.com,kristle@dontechi.com,1,GTXPro,4744,2017-03-30,2017-11-25,240,3,12
2310,Warephase,3DM5SSI5,Darcel Schlecht,darcel@piedpiper.com,elisa@warephase.com,1,GTXPro,5231,2017-03-30,2017-08-10,133,3,12
2311,Donware,R0S5FZ1G,Donn Cantrell,donn@piedpiper.com,eleonore@donware.com,0,MG Special,46,2017-03-30,2017-08-16,139,6,2
2313,Gekko & Co,WE03969I,Donn Cantrell,donn@piedpiper.com,krystle@gekko&co.com,1,GTX Plus Basic,1131,2017-03-30,2017-10-30,214,2,2
2315,Hottechi,8C2WG2FB,Zane Levy,zane@piedpiper.com,juliette@hottechi.com,0,MG Advanced,601,2017-03-31,2017-10-21,204,1,7
2316,Lexiqvolax,SVMB8M7E,Kami Bicknell,kami@piedpiper.com,darryl@lexiqvolax.com,1,GTX Basic,441,2017-03-31,2017-07-05,96,4,16
2317,Acme Corporation,XT9YNOV2,Donn Cantrell,donn@piedpiper.com,cuc@acmecorporation.com,1,GTX Plus Pro,5724,2017-03-31,2017-10-01,184,5,2
2319,Kan-code,3NQBMKOK,Kary Hendrixson,kary@piedpiper.com,kenton@kan-code.com,1,GTX Basic,494,2017-03-31,2017-08-07,129,4,9
2320,Ron-tech,XUGTSB00,Niesha Huffines,niesha@piedpiper.com,kelly@ron-tech.com,1,MG Advanced,3167,2017-03-31,2017-12-27,271,1,4
2321,Ganjaflex,I2U6MKUT,Reed Clapper,reed@piedpiper.com,somer@ganjaflex.com,1,GTX Basic,548,2017-03-31,2017-10-31,214,4,19
2322,Gekko & Co,65B8HSTW,Daniell Hammack,daniell@piedpiper.com,krystle@gekko&co.com,1,GTXPro,4986,2017-03-31,2017-11-02,216,3,5
2323,dambase,0VYX8TN3,Cecily Lampkin,cecily@piedpiper.com,darwin@dambase.com,0,MG Special,1540,2017-03-31,2017-11-07,221,6,26
2324,Konex,YAKIMBKC,Kary Hendrixson,kary@piedpiper.com,delila@konex.com,1,GTX Basic,609,2017-03-31,2017-07-17,108,4,9
2325,Gekko & Co,7PAVX9CP,Cassey Cress,cassey@piedpiper.com,krystle@gekko&co.com,1,GTX Plus Basic,1114,2017-03-31,2017-04-30,30,2,10
2327,Singletechno,XJI41C0L,Vicki Laflamme,vicki@piedpiper.com,tambra@singletechno.com,1,GTXPro,4869,2017-03-31,2017-05-28,58,3,15
2328,Initech,1O2ZN81M,Cassey Cress,cassey@piedpiper.com,alejandro@initech.com,1,GTX Plus Basic,1372,2017-03-31,2017-10-22,205,2,10
2330,Kan-code,R8CMI00I,Garret Kinder,garret@piedpiper.com,kenton@kan-code.com,1,GTX Basic,555,2017-03-31,2017-04-08,8,4,6
2331,Sonron,3KZUBSRU,Hayden Neloms,hayden@piedpiper.com,ashlie@sonron.com,1,GTX Plus Basic,1024,2017-03-31,2017-04-11,11,2,29
2332,Green-Plus,ALQRAPZR,Markita Hansen,markita@piedpiper.com,lavone@green-plus.com,1,GTX Plus Basic,923,2017-03-31,2017-07-14,105,2,1
2333,Stanredtax,DG7LABPD,Marty Freudenburg,marty@piedpiper.com,candice@stanredtax.com,1,MG Advanced,3590,2017-03-31,2017-07-28,119,1,11
2334,Globex Corporation,DQ0DSK7P,Marty Freudenburg,marty@piedpiper.com,yolando@globexcorporation.com,1,GTX Plus Basic,1176,2017-03-31,2017-04-05,5,2,11
2336,Xx-zobam,MG0LTCCE,Daniell Hammack,daniell@piedpiper.com,vanessa@xx-zobam.com,1,GTX Plus Basic,1231,2017-03-31,2017-12-11,255,2,5
2338,Genco Pura Olive Oil Company,D9VTKEEH,Anna Snelling,anna@piedpiper.com,karole@gencopuraoliveoilcompany.com,0,GTX Plus Basic,50,2017-03-31,2017-12-07,251,2,8
2339,Rantouch,6BBYA0L3,Hayden Neloms,hayden@piedpiper.com,maren@rantouch.com,1,GTX Plus Basic,1157,2017-03-31,2017-09-12,165,2,29
2340,Genco Pura Olive Oil Company,DLAMSRVT,Jonathan Berthelot,jonathan@piedpiper.com,karole@gencopuraoliveoilcompany.com,0,GTX Basic,5169,2017-03-31,2017-09-04,157,4,18
2341,Nam-zim,9WUYZLBE,Zane Levy,zane@piedpiper.com,garfield@nam-zim.com,1,MG Special,64,2017-03-31,2017-04-05,5,6,7
2342,Acme Corporation,TK9T01QM,Reed Clapper,reed@piedpiper.com,cuc@acmecorporation.com,0,GTXPro,1026,2017-04-01,2017-09-30,182,3,19
2343,Rundofase,49USIHDH,Marty Freudenburg,marty@piedpiper.com,crista@rundofase.com,0,MG Advanced,2000,2017-04-01,2017-12-12,255,1,11
2344,Initech,ZG82F4GH,Reed Clapper,reed@piedpiper.com,alejandro@initech.com,0,GTX Basic,53,2017-04-01,2017-10-07,189,4,19
2345,Faxquote,3VMC6PGJ,Hayden Neloms,hayden@piedpiper.com,gaylord@faxquote.com,0,GTX Plus Basic,517,2017-04-01,2017-05-03,32,2,29
2346,Singletechno,RCNTHN0E,James Ascencio,james@piedpiper.com,tambra@singletechno.com,1,MG Special,65,2017-04-01,2017-05-28,57,6,22
2347,Genco Pura Olive Oil Company,KTX7ETCE,Niesha Huffines,niesha@piedpiper.com,karole@gencopuraoliveoilcompany.com,1,GTX Basic,528,2017-04-01,2017-04-27,26,4,4
2348,Donquadtech,ZA1YVJQC,Garret Kinder,garret@piedpiper.com,malissa@donquadtech.com,1,MG Advanced,3552,2017-04-01,2017-09-28,180,1,6
2349,Mathtouch,RQ3BV2I5,Daniell Hammack,daniell@piedpiper.com,loise@mathtouch.com,1,GTXPro,3729,2017-04-01,2017-08-25,146,3,5
2350,Iselectrics,VLVP8FPJ,Cassey Cress,cassey@piedpiper.com,mirta@iselectrics.com,0,MG Advanced,1180,2017-04-01,2017-06-04,64,1,10
2351,Codehow,N3TUSU37,Jonathan Berthelot,jonathan@piedpiper.com,justine@codehow.com,1,GTX Plus Basic,1012,2017-04-01,2017-04-03,2,2,18
2352,Silis,WC7KCJ2N,Boris Faz,boris@piedpiper.com,zulema@silis.com,1,GTX Plus Basic,1063,2017-04-01,2017-04-02,1,2,23
2353,Sunnamplex,XN43RX9C,Markita Hansen,markita@piedpiper.com,maxie@sunnamplex.com,1,MG Advanced,3187,2017-04-01,2017-08-23,144,1,1
2354,Hatfan,OU42AWAE,Kami Bicknell,kami@piedpiper.com,tyron@hatfan.com,1,GTX Basic,531,2017-04-01,2017-07-09,99,4,16
2356,Treequote,2P0VIX4N,Cecily Lampkin,cecily@piedpiper.com,benny@treequote.com,0,MG Advanced,2000,2017-04-01,2017-07-15,105,1,26
2357,Cheers,M3306MKK,Markita Hansen,markita@piedpiper.com,robbie@cheers.com,1,MG Special,53,2017-04-01,2017-04-17,16,6,1
2358,Newex,9E3UNPHY,Markita Hansen,markita@piedpiper.com,pedro@newex.com,1,MG Advanced,3836,2017-04-01,2017-07-21,111,1,1
2359,Labdrill,T0SEVT4K,Hayden Neloms,hayden@piedpiper.com,halley@labdrill.com,1,MG Advanced,3028,2017-04-02,2017-10-02,183,1,29
2360,Conecom,4KIZ9WJ0,Gladys Colclough,gladys@piedpiper.com,ivory@conecom.com,0,GTX Plus Basic,3180,2017-04-02,2017-04-25,23,2,3
2361,Rangreen,0000I7AO,Jonathan Berthelot,jonathan@piedpiper.com,darrel@rangreen.com,1,GTX Basic,505,2017-04-02,2017-11-05,217,4,18
2362,Isdom,3DB2J8UR,Niesha Huffines,niesha@piedpiper.com,corrinne@isdom.com,0,GTX Basic,53,2017-04-02,2017-12-29,271,4,4
2363,Faxquote,R102IPTH,Kary Hendrixson,kary@piedpiper.com,gaylord@faxquote.com,1,GTX Plus Pro,5839,2017-04-02,2017-11-25,237,5,9
2364,Labdrill,SW75F1Q1,Rosalina Dieter,rosalina@piedpiper.com,halley@labdrill.com,1,MG Special,55,2017-04-02,2017-10-29,210,6,20
2365,Xx-zobam,98MASV7P,Reed Clapper,reed@piedpiper.com,vanessa@xx-zobam.com,1,GTXPro,4933,2017-04-02,2017-06-21,80,3,19
2367,Dontechi,OEBJXZN6,Darcel Schlecht,darcel@piedpiper.com,kristle@dontechi.com,1,MG Advanced,3625,2017-04-02,2017-09-27,178,1,12
2371,Donware,LKFYC5X3,Rosie Papadopoulos,rosie@piedpiper.com,eleonore@donware.com,1,MG Special,58,2017-04-02,2017-12-15,257,6,17
2372,Isdom,ZQHJNTDK,Moses Frase,moses@piedpiper.com,corrinne@isdom.com,1,GTX Plus Basic,1042,2017-04-02,2017-09-01,152,2,24
2373,Rundofase,CRL6IB5Z,Niesha Huffines,niesha@piedpiper.com,crista@rundofase.com,0,GTX Plus Basic,492,2017-04-02,2017-08-22,142,2,4
2374,Conecom,66BQC4C9,Cecily Lampkin,cecily@piedpiper.com,ivory@conecom.com,0,MG Advanced,589,2017-04-02,2017-11-09,221,1,26
2375,Nam-zim,6Z3EP424,Elease Gluck,elease@piedpiper.com,garfield@nam-zim.com,1,MG Special,51,2017-04-02,2017-10-29,210,6,14
2376,Cheers,4E5E9MYV,Maureen Marcano,maureen@piedpiper.com,robbie@cheers.com,1,GTX Plus Basic,938,2017-04-02,2017-07-24,113,2,28
2377,Initech,IT9YW5RP,Wilburn Farren,wilburn@piedpiper.com,alejandro@initech.com,1,GTX Basic,592,2017-04-03,2017-09-05,155,4,27
2378,Cheers,0HELH2Q0,James Ascencio,james@piedpiper.com,robbie@cheers.com,0,GTX Plus Basic,61,2017-04-03,2017-06-23,81,2,22
2380,Massive Dynamic,DF4KYH5H,Cassey Cress,cassey@piedpiper.com,gertrude@massivedynamic.com,1,GTXPro,4256,2017-04-03,2017-09-10,160,3,10
2381,Plussunin,M4ZNQTEQ,Rosie Papadopoulos,rosie@piedpiper.com,terry@plussunin.com,1,MG Advanced,3340,2017-04-03,2017-08-06,125,1,17
2382,Donquadtech,KFVI73X6,Cassey Cress,cassey@piedpiper.com,malissa@donquadtech.com,1,MG Advanced,3844,2017-04-03,2017-05-27,54,1,10
2385,Silis,XCGW5K0N,Violet Mclelland,violet@piedpiper.com,zulema@silis.com,1,GTX Basic,572,2017-04-03,2017-06-04,62,4,13
2386,Goodsilron,RC1YCAEP,James Ascencio,james@piedpiper.com,claribel@goodsilron.com,1,GTX Basic,431,2017-04-03,2017-04-26,23,4,22
2387,Streethex,RSP75BOI,Moses Frase,moses@piedpiper.com,junko@streethex.com,0,GTX Plus Pro,903,2017-04-03,2017-06-12,70,5,24
2388,Umbrella Corporation,41S0S9KP,Wilburn Farren,wilburn@piedpiper.com,orpha@umbrellacorporation.com,1,GTX Basic,471,2017-04-03,2017-11-12,223,4,27
2389,Golddex,86GSJWQW,Rosalina Dieter,rosalina@piedpiper.com,kelli@golddex.com,1,MG Special,54,2017-04-03,2017-06-08,66,6,20
2390,Domzoom,DX8R6PA4,Marty Freudenburg,marty@piedpiper.com,tanja@domzoom.com,0,GTX Plus Basic,1180,2017-04-03,2017-10-26,206,2,11
2391,Umbrella Corporation,3DF5FIAM,Reed Clapper,reed@piedpiper.com,orpha@umbrellacorporation.com,1,MG Advanced,3285,2017-04-03,2017-11-20,231,1,19
2392,Finjob,8F7VHV02,Kami Bicknell,kami@piedpiper.com,belinda@finjob.com,1,GTX Basic,446,2017-04-03,2017-12-03,244,4,16
2393,Streethex,2H45C9FK,Marty Freudenburg,marty@piedpiper.com,junko@streethex.com,0,GTXPro,1232,2017-04-03,2017-12-23,264,3,11
2394,Rundofase,D4ABG4I1,Jonathan Berthelot,jonathan@piedpiper.com,crista@rundofase.com,1,GTXPro,4356,2017-04-03,2017-04-15,12,3,18
2395,Condax,E8L9I3QP,Zane Levy,zane@piedpiper.com,golda@condax.com,1,GTX Basic,447,2017-04-03,2017-08-11,130,4,7
2396,Hatfan,R7GYOI0M,James Ascencio,james@piedpiper.com,tyron@hatfan.com,1,GTX Plus Pro,5547,2017-04-03,2017-04-14,11,5,22
2397,Dontechi,P3VM7655,Jonathan Berthelot,jonathan@piedpiper.com,kristle@dontechi.com,1,MG Advanced,3281,2017-04-04,2017-04-20,16,1,18
2398,Kan-code,YNKWBEEN,Reed Clapper,reed@piedpiper.com,kenton@kan-code.com,1,GTX Basic,521,2017-04-04,2017-12-13,253,4,19
2399,Konmatfix,2YVVZN5L,Jonathan Berthelot,jonathan@piedpiper.com,ivana@konmatfix.com,0,GTX Plus Basic,50,2017-04-04,2017-04-20,16,2,18
2400,Codehow,1IH166HI,Versie Hillebrand,versie@piedpiper.com,justine@codehow.com,0,MG Special,50,2017-04-04,2017-06-22,79,6,25
2401,Scottech,0VXUZU7P,Anna Snelling,anna@piedpiper.com,edison@scottech.com,1,MG Special,49,2017-04-04,2017-05-23,49,6,8
2402,Vehement Capital Partners,C64JTLGO,Donn Cantrell,donn@piedpiper.com,lavonia@vehementcapitalpartners.com,1,GTX Plus Basic,1101,2017-04-04,2017-10-18,197,2,2
2403,Yearin,RNV54AZ7,Rosie Papadopoulos,rosie@piedpiper.com,vella@yearin.com,0,GTX Plus Pro,1026,2017-04-04,2017-06-26,83,5,17
2404,Dontechi,CYSF0YQN,Anna Snelling,anna@piedpiper.com,kristle@dontechi.com,0,GTX Plus Basic,1180,2017-04-04,2017-11-12,222,2,8
2405,Conecom,HBJPBF3P,Marty Freudenburg,marty@piedpiper.com,ivory@conecom.com,1,MG Special,54,2017-04-04,2017-10-20,199,6,11
2406,Ontomedia,JUU6C7NO,Donn Cantrell,donn@piedpiper.com,nedra@ontomedia.com,0,GTX Plus Basic,4514,2017-04-04,2017-11-28,238,2,2
2407,Ron-tech,SV3T5L5N,Anna Snelling,anna@piedpiper.com,kelly@ron-tech.com,1,GTX Plus Basic,1160,2017-04-04,2017-07-06,93,2,8
2411,Donquadtech,IDYA1X6O,Violet Mclelland,violet@piedpiper.com,malissa@donquadtech.com,1,MG Special,55,2017-04-04,2017-06-22,79,6,13
2412,Ron-tech,BO2XRLBS,Moses Frase,moses@piedpiper.com,kelly@ron-tech.com,0,MG Special,493,2017-04-04,2017-07-15,102,6,24
2413,Funholding,LMVQ6B9P,Lajuana Vencill,lajuana@piedpiper.com,ying@funholding.com,1,GTX Plus Basic,1072,2017-04-04,2017-05-11,37,2,0
2414,Conecom,R2E45IQ8,Darcel Schlecht,darcel@piedpiper.com,ivory@conecom.com,1,GTX Plus Pro,5144,2017-04-04,2017-06-23,80,5,12
2415,Groovestreet,HGG0EZ00,Markita Hansen,markita@piedpiper.com,natisha@groovestreet.com,0,GTXPro,1232,2017-04-04,2017-11-28,238,3,1
2416,Sunnamplex,WKTVP5WY,Rosalina Dieter,rosalina@piedpiper.com,maxie@sunnamplex.com,1,MG Special,56,2017-04-04,2017-09-09,158,6,20
2417,Hottechi,ENL7MDL2,Hayden Neloms,hayden@piedpiper.com,juliette@hottechi.com,1,GTX Plus Basic,1226,2017-04-04,2017-12-27,267,2,29
2418,Konex,FAS4V07H,Cassey Cress,cassey@piedpiper.com,delila@konex.com,1,MG Advanced,2695,2017-04-04,2017-07-20,107,1,10
2420,Massive Dynamic,QKQ5N9Z1,Corliss Cosme,corliss@piedpiper.com,gertrude@massivedynamic.com,1,GTX Plus Basic,1033,2017-04-05,2017-06-19,75,2,21
2421,Silis,LPGOTIM2,Boris Faz,boris@piedpiper.com,zulema@silis.com,1,MG Special,55,2017-04-05,2017-06-08,64,6,23
2422,Conecom,GBSK2HX8,Anna Snelling,anna@piedpiper.com,ivory@conecom.com,1,GTX Plus Basic,1300,2017-04-05,2017-08-27,144,2,8
2423,Genco Pura Olive Oil Company,G6PDDHMN,Jonathan Berthelot,jonathan@piedpiper.com,karole@gencopuraoliveoilcompany.com,0,GTX Basic,493,2017-04-05,2017-04-14,9,4,18
2425,Hottechi,3AIA6RL3,Jonathan Berthelot,jonathan@piedpiper.com,juliette@hottechi.com,1,GTX Plus Basic,1132,2017-04-05,2017-12-19,258,2,18
2426,Finhigh,CGEXH2QO,Moses Frase,moses@piedpiper.com,mellie@finhigh.com,0,GTX Plus Pro,492,2017-04-05,2017-06-16,72,5,24
2427,Isdom,072ELFQF,Lajuana Vencill,lajuana@piedpiper.com,corrinne@isdom.com,0,MG Advanced,3284,2017-04-05,2017-09-27,175,1,0
2428,Gekko & Co,TNEB1XNK,Donn Cantrell,donn@piedpiper.com,krystle@gekko&co.com,1,GTX Plus Basic,1194,2017-04-05,2017-12-30,269,2,2
2430,Plexzap,1BAF1ZYL,Vicki Laflamme,vicki@piedpiper.com,titus@plexzap.com,1,GTX Basic,551,2017-04-05,2017-12-08,247,4,15
2431,Finhigh,RM4HCA1W,Niesha Huffines,niesha@piedpiper.com,mellie@finhigh.com,0,MG Special,1054,2017-04-05,2017-11-23,232,6,4
2432,Konex,F0KWRLK1,Vicki Laflamme,vicki@piedpiper.com,delila@konex.com,1,GTXPro,5348,2017-04-05,2017-09-16,164,3,15
2434,Labdrill,JYNYK957,James Ascencio,james@piedpiper.com,halley@labdrill.com,1,MG Advanced,3063,2017-04-05,2017-04-13,8,1,22
2435,Rangreen,C7DOYN5Y,Lajuana Vencill,lajuana@piedpiper.com,darrel@rangreen.com,1,GTX Basic,585,2017-04-05,2017-12-25,264,4,0
2436,Donware,LMCHDMJX,Daniell Hammack,daniell@piedpiper.com,eleonore@donware.com,1,GTX Plus Basic,1050,2017-04-05,2017-06-14,70,2,5
2437,Kan-code,9G85W8XE,Corliss Cosme,corliss@piedpiper.com,kenton@kan-code.com,0,GTX Plus Basic,588,2017-04-05,2017-07-27,113,2,21
2439,Condax,O462ARMZ,Garret Kinder,garret@piedpiper.com,golda@condax.com,1,GTX Plus Pro,5429,2017-04-06,2017-08-05,121,5,6
2441,Condax,HA1KXAIS,Cassey Cress,cassey@piedpiper.com,golda@condax.com,1,MG Advanced,3908,2017-04-06,2017-10-24,201,1,10
2442,Scotfind,EBRWSMI0,Markita Hansen,markita@piedpiper.com,gordon@scotfind.com,0,GTX Plus Basic,1014,2017-04-06,2017-05-22,46,2,1
2443,Rundofase,XGLMCTLG,Moses Frase,moses@piedpiper.com,crista@rundofase.com,1,GTX Basic,551,2017-04-06,2017-08-05,121,4,24
2444,Zencorporation,U5UM9W8V,Corliss Cosme,corliss@piedpiper.com,rosalyn@zencorporation.com,0,GTX Plus Basic,1232,2017-04-06,2017-07-06,91,2,21
2446,Ron-tech,JWRSTAU8,Moses Frase,moses@piedpiper.com,kelly@ron-tech.com,1,GTX Basic,503,2017-04-06,2017-09-29,176,4,24
2447,Finhigh,LIFA0JYO,Versie Hillebrand,versie@piedpiper.com,mellie@finhigh.com,0,MG Special,560,2017-04-06,2017-12-10,248,6,25
2449,Massive Dynamic,S8ALJKKH,Garret Kinder,garret@piedpiper.com,gertrude@massivedynamic.com,1,GTXPro,4671,2017-04-06,2017-09-07,154,3,6
2450,Treequote,GIP11NY3,Marty Freudenburg,marty@piedpiper.com,benny@treequote.com,1,MG Advanced,3428,2017-04-06,2017-12-07,245,1,11
2451,Iselectrics,LB8UE159,Daniell Hammack,daniell@piedpiper.com,mirta@iselectrics.com,1,GTX Plus Pro,5353,2017-04-06,2017-10-23,200,5,5
2452,Xx-zobam,U11XXNCF,Rosie Papadopoulos,rosie@piedpiper.com,vanessa@xx-zobam.com,1,MG Advanced,3306,2017-04-06,2017-12-26,264,1,17
2453,Funholding,K6ZDH79M,Darcel Schlecht,darcel@piedpiper.com,ying@funholding.com,1,GTXPro,5088,2017-04-06,2017-04-16,10,3,12
2454,Faxquote,7GM1XD9W,James Ascencio,james@piedpiper.com,gaylord@faxquote.com,1,GTXPro,4277,2017-04-06,2017-07-14,99,3,22
2455,Xx-zobam,FHK0BBGK,Garret Kinder,garret@piedpiper.com,vanessa@xx-zobam.com,1,MG Special,62,2017-04-06,2017-09-28,175,6,6
2456,The New York Inquirer,S8JALB62,Cassey Cress,cassey@piedpiper.com,hai@thenewyorkinquirer.com,1,MG Advanced,3508,2017-04-06,2017-08-20,136,1,10
2457,Finjob,57NT8T8S,Zane Levy,zane@piedpiper.com,belinda@finjob.com,0,GTX Basic,589,2017-04-06,2017-04-06,0,4,7
2458,Scottech,7ZWN0JO9,Niesha Huffines,niesha@piedpiper.com,edison@scottech.com,1,GTX Plus Basic,943,2017-04-06,2017-09-24,171,2,4
2459,Hottechi,1TJ6WP5R,Vicki Laflamme,vicki@piedpiper.com,juliette@hottechi.com,1,MG Special,65,2017-04-06,2017-04-11,5,6,15
2460,Globex Corporation,IF8PILJR,Anna Snelling,anna@piedpiper.com,yolando@globexcorporation.com,1,MG Special,46,2017-04-06,2017-12-17,255,6,8
2461,Singletechno,UNSJB0L7,Vicki Laflamme,vicki@piedpiper.com,tambra@singletechno.com,1,GTXPro,3754,2017-04-06,2017-09-06,153,3,15
2462,Hottechi,A86ZEF94,Versie Hillebrand,versie@piedpiper.com,juliette@hottechi.com,0,MG Special,3393,2017-04-06,2017-04-07,1,6,25
2463,Funholding,75HKH8PS,Anna Snelling,anna@piedpiper.com,ying@funholding.com,0,GTX Plus Basic,50,2017-04-06,2017-12-29,267,2,8
2464,Rangreen,DH8R6PK5,Darcel Schlecht,darcel@piedpiper.com,darrel@rangreen.com,0,GTXPro,903,2017-04-06,2017-06-03,58,3,12
2465,Conecom,5JO7SIGB,Darcel Schlecht,darcel@piedpiper.com,ivory@conecom.com,0,GTXPro,537,2017-04-06,2017-12-09,247,3,12
2466,Faxquote,L11T0DYF,Vicki Laflamme,vicki@piedpiper.com,gaylord@faxquote.com,1,MG Advanced,2590,2017-04-06,2017-06-23,78,1,15
2467,Rantouch,RCDG00F7,Zane Levy,zane@piedpiper.com,maren@rantouch.com,1,GTX Basic,601,2017-04-06,2017-12-08,246,4,7
2468,Y-corporation,2KKRRM1G,Zane Levy,zane@piedpiper.com,rosanne@y-corporation.com,1,GTX Plus Basic,1036,2017-04-07,2017-06-14,68,2,7
2469,Mathtouch,2J16RN99,Donn Cantrell,donn@piedpiper.com,loise@mathtouch.com,0,GTXPro,50,2017-04-07,2017-11-27,234,3,2
2472,Singletechno,2FEA30KT,Hayden Neloms,hayden@piedpiper.com,tambra@singletechno.com,1,GTX Plus Basic,935,2017-04-07,2017-08-27,142,2,29
2473,Zathunicon,BTLXFPUB,Daniell Hammack,daniell@piedpiper.com,williemae@zathunicon.com,1,GTX Plus Pro,5343,2017-04-07,2017-07-07,91,5,5
2475,Condax,FENOSL5C,Vicki Laflamme,vicki@piedpiper.com,golda@condax.com,1,GTX Plus Pro,6206,2017-04-07,2017-12-04,241,5,15
2477,Newex,6ONKN1IM,Vicki Laflamme,vicki@piedpiper.com,pedro@newex.com,0,MG Advanced,3393,2017-04-07,2017-05-14,37,1,15
2478,Condax,6F8IL0XV,Maureen Marcano,maureen@piedpiper.com,golda@condax.com,0,GTX Plus Basic,3393,2017-04-07,2017-05-24,47,2,28
2480,Goodsilron,95V8BLR2,Kami Bicknell,kami@piedpiper.com,claribel@goodsilron.com,1,GTX Basic,519,2017-04-07,2017-10-07,183,4,16
2481,Lexiqvolax,M3MJY0CK,James Ascencio,james@piedpiper.com,darryl@lexiqvolax.com,1,GTX Plus Pro,6693,2017-04-07,2017-12-17,254,5,22
2482,Statholdings,T0MUE2H7,Moses Frase,moses@piedpiper.com,verna@statholdings.com,0,MG Special,4667,2017-04-07,2017-07-23,107,6,24
2484,Globex Corporation,DSC7UB3W,Anna Snelling,anna@piedpiper.com,yolando@globexcorporation.com,0,MG Special,1000,2017-04-07,2017-07-15,99,6,8
2486,Gekko & Co,08O63ECM,Donn Cantrell,donn@piedpiper.com,krystle@gekko&co.com,1,MG Advanced,3281,2017-04-07,2017-09-25,171,1,2
2488,Globex Corporation,4QU2EXEY,Cecily Lampkin,cecily@piedpiper.com,yolando@globexcorporation.com,1,MG Advanced,3164,2017-04-07,2017-09-24,170,1,26
